Layer #,Pass #,Time(ms),Reading
63,1,567546,699.0
63,1,567563,698.0
63,1,567580,699.0
63,1,567596,700.0
63,1,567612,699.0
63,1,567630,698.0
63,1,567646,698.0
63,1,567664,698.0
63,1,567679,699.0
63,1,567696,699.0
63,1,567714,697.0
63,1,567729,695.0
63,1,567746,694.0
63,1,567762,695.0
63,1,567779,712.0
63,1,567796,678.0
63,1,567813,641.0
63,1,567829,608.0
63,1,567847,574.0
63,1,567863,542.0
63,1,567879,512.0
63,1,567896,484.0
63,1,567913,459.0
63,1,567929,435.0
63,1,567946,412.0
63,1,567963,394.0
63,1,567980,372.0
63,1,567996,356.0
63,1,568013,340.0
63,1,568030,323.0
63,1,568046,309.0
63,1,568064,298.0
63,1,568079,288.0
63,1,568097,276.0
63,1,568113,271.0
63,1,568130,264.0
63,1,568146,259.0
63,1,568164,255.0
63,1,568179,251.0
63,1,568197,249.0
63,1,568214,246.0
63,1,568229,243.0
63,1,568246,243.0
63,1,568263,242.0
63,1,568279,242.0
63,1,568297,240.0
63,1,568313,241.0
63,1,568330,240.0
63,1,568346,241.0
63,1,568363,239.0
63,1,568379,238.0
63,1,568395,239.0
63,1,568413,239.0
63,1,568430,239.0
63,1,568447,239.0
63,1,568463,239.0
63,1,568480,240.0
63,1,568497,239.0
63,1,568513,239.0
63,1,568530,238.0
63,1,568546,238.0
63,1,568563,238.0
63,1,568580,238.0
63,1,568597,237.0
63,1,568614,239.0
63,1,568630,238.0
63,1,568647,238.0
63,1,568663,239.0
63,1,568680,238.0
63,1,568696,239.0
63,1,568712,237.0
63,1,568729,238.0
63,1,568747,237.0
63,1,568763,237.0
63,1,568779,238.0
63,1,568797,239.0
63,1,568814,238.0
63,1,568830,238.0
63,1,568847,236.0
63,1,568864,238.0
63,1,568880,239.0
63,1,568896,238.0
63,1,568913,238.0
63,1,568929,235.0
63,1,568946,237.0
63,1,568963,238.0
63,1,568979,237.0
63,1,568996,238.0
63,1,569013,237.0
63,1,569030,238.0
63,1,569047,237.0
63,1,569064,237.0
63,1,569080,238.0
63,1,569096,236.0
63,1,569113,236.0
63,1,569130,238.0
63,1,569147,236.0
63,1,569164,236.0
63,1,569180,237.0
63,1,569196,236.0
63,1,569213,237.0
63,1,569230,236.0
63,1,569246,236.0
63,1,569263,237.0
63,1,569280,236.0
63,1,569296,237.0
63,1,569313,238.0
63,1,569329,235.0
63,1,569346,237.0
63,1,569363,236.0
63,1,569379,236.0
63,1,569397,235.0
63,1,569413,234.0
63,1,569430,236.0
63,1,569447,235.0
63,1,569463,236.0
63,1,569479,238.0
63,1,569496,237.0
63,1,569513,237.0
63,1,569530,236.0
63,1,569547,235.0
63,1,569563,236.0
63,1,569580,237.0
63,1,569596,237.0
63,1,569613,236.0
63,1,569629,236.0
63,1,569647,236.0
63,1,569664,236.0
63,1,569680,236.0
63,1,569696,236.0
63,1,569713,236.0
63,1,569729,236.0
63,1,569747,236.0
63,1,569762,236.0
63,1,569780,236.0
63,1,569797,236.0
63,1,569813,236.0
63,1,569830,236.0
63,1,569846,236.0
63,1,569862,236.0
63,1,569880,236.0
63,1,569897,236.0
63,1,569913,236.0
63,1,569930,236.0
63,1,569946,236.0
63,1,569963,236.0
63,1,569980,236.0
63,1,569997,236.0
63,1,570013,236.0
63,1,570030,236.0
63,1,570047,236.0
63,1,570063,236.0
63,1,570080,236.0
63,1,570097,236.0
63,2,570113,236.0
63,2,570129,236.0
63,2,570146,236.0
63,2,570162,236.0
63,2,570180,236.0
63,2,570196,467.0
63,2,570213,473.0
63,2,570230,488.0
63,2,570247,503.0
63,2,570263,516.0
63,2,570280,528.0
63,2,570297,538.0
63,2,570314,546.0
63,2,570330,558.0
63,2,570346,569.0
63,2,570363,583.0
63,2,570382,590.0
63,2,570399,598.0
63,2,570416,605.0
63,2,570432,613.0
63,2,570448,620.0
63,2,570465,625.0
63,2,570482,627.0
63,2,570499,633.0
63,2,570515,637.0
63,2,570532,644.0
63,2,570549,649.0
63,2,570565,653.0
63,2,570582,657.0
63,2,570599,661.0
63,2,570615,663.0
63,2,570632,665.0
63,2,570648,668.0
63,2,570665,673.0
63,2,570682,675.0
63,2,570699,672.0
63,2,570716,673.0
63,2,570732,679.0
63,2,570749,677.0
63,2,570765,682.0
63,2,570782,685.0
63,2,570799,687.0
63,2,570816,688.0
63,2,570832,689.0
63,2,570849,690.0
63,2,570865,690.0
63,2,570883,691.0
63,2,570898,691.0
63,2,570916,693.0
63,2,570932,693.0
63,2,570948,695.0
63,2,570965,696.0
63,2,570982,691.0
63,2,570999,693.0
63,2,571016,698.0
63,2,571032,699.0
63,2,571049,697.0
63,2,571066,698.0
63,2,571083,699.0
63,2,571099,699.0
63,2,571115,700.0
63,2,571131,700.0
63,2,571149,700.0
63,2,571166,698.0
63,2,571182,700.0
63,2,571199,700.0
63,2,571216,697.0
63,2,571232,700.0
63,2,571249,703.0
63,2,571266,703.0
63,2,571282,702.0
63,2,571299,700.0
63,2,571315,701.0
63,2,571333,702.0
63,2,571349,702.0
63,2,571366,702.0
63,2,571382,702.0
63,2,571399,703.0
63,2,571416,698.0
63,2,571433,698.0
63,2,571448,704.0
63,2,571465,705.0
63,2,571483,698.0
63,2,571499,703.0
63,2,571515,703.0
63,2,571533,705.0
63,2,571549,705.0
63,2,571565,704.0
63,2,571582,705.0
63,2,571599,706.0
63,2,571616,703.0
63,2,571632,703.0
63,2,571649,705.0
63,2,571666,698.0
63,2,571683,699.0
63,2,571698,705.0
63,2,571715,700.0
63,2,571732,705.0
63,2,571750,703.0
63,2,571766,703.0
63,2,571783,706.0
63,2,571799,707.0
63,2,571815,705.0
63,2,571832,705.0
63,2,571850,705.0
63,2,571866,704.0
63,2,571883,704.0
63,2,571902,701.0
63,2,571918,699.0
63,2,571935,699.0
63,2,571952,700.0
63,2,571968,705.0
63,2,571985,705.0
63,2,572002,700.0
63,2,572018,704.0
63,2,572036,698.0
63,2,572052,699.0
63,2,572069,699.0
63,2,572086,698.0
63,2,572102,699.0
63,2,572119,699.0
63,2,572136,699.0
63,2,572151,699.0
63,2,572169,699.0
63,2,572185,699.0
63,2,572203,699.0
63,2,572219,705.0
63,2,572235,699.0
63,2,572252,699.0
63,2,572269,716.0
63,2,572284,705.0
63,2,572302,692.0
63,2,572318,682.0
63,2,572336,668.0
63,2,572351,658.0
63,2,572368,647.0
63,2,572386,637.0
63,2,572401,628.0
63,2,572418,620.0
63,2,572436,611.0
63,2,572452,604.0
63,2,572469,597.0
63,2,572484,599.0
63,2,572502,585.0
63,2,572518,579.0
63,2,572535,574.0
63,2,572552,569.0
63,2,572568,564.0
63,2,572585,559.0
63,2,572602,556.0
63,2,572618,552.0
63,2,572635,550.0
63,2,572652,546.0
63,2,572668,542.0
63,2,572686,539.0
63,2,572702,542.0
63,2,572719,534.0
63,2,572735,533.0
63,2,572752,531.0
63,2,572769,528.0
63,2,572785,526.0
63,2,572802,525.0
63,2,572819,523.0
63,2,572835,521.0
63,2,572852,521.0
63,2,572869,518.0
63,2,572885,517.0
63,2,572901,517.0
63,2,572919,516.0
63,2,572935,521.0
63,2,572951,518.0
63,2,572968,512.0
63,2,572986,511.0
63,2,573002,511.0
63,2,573019,510.0
63,2,573036,511.0
63,2,573052,509.0
63,2,573069,508.0
63,2,573085,507.0
63,2,573101,507.0
63,2,573118,506.0
63,2,573136,505.0
63,2,573152,505.0
63,2,573168,511.0
63,2,573185,509.0
63,2,573201,511.0
63,2,573218,503.0
63,2,573235,503.0
63,2,573252,503.0
63,2,573269,502.0
63,2,573285,503.0
63,2,573302,503.0
63,2,573318,501.0
63,2,573335,502.0
63,2,573352,502.0
63,2,573368,501.0
63,2,573385,501.0
63,2,573402,505.0
63,2,573418,505.0
63,2,573435,500.0
63,2,573452,499.0
63,2,573469,501.0
63,2,573485,501.0
63,2,573502,501.0
63,2,573519,500.0
63,2,573536,501.0
63,2,573552,499.0
63,2,573568,499.0
63,2,573585,498.0
63,2,573603,499.0
