Layer #,Pass #,Time(ms),Reading
63,1,570310,751.0
63,1,570326,750.0
63,1,570343,751.0
63,1,570360,751.0
63,1,570376,752.0
63,1,570393,752.0
63,1,570410,753.0
63,1,570426,752.0
63,1,570442,751.0
63,1,570460,751.0
63,1,570477,752.0
63,1,570493,751.0
63,1,570510,753.0
63,1,570526,752.0
63,1,570543,752.0
63,1,570560,755.0
63,1,570577,755.0
63,1,570593,749.0
63,1,570610,753.0
63,1,570627,753.0
63,1,570643,752.0
63,1,570659,752.0
63,1,570677,752.0
63,1,570693,753.0
63,1,570710,752.0
63,1,570726,753.0
63,1,570743,753.0
63,1,570759,753.0
63,1,570777,751.0
63,1,570793,753.0
63,1,570810,753.0
63,1,570826,753.0
63,1,570844,753.0
63,1,570860,752.0
63,1,570876,751.0
63,1,570893,753.0
63,1,570909,752.0
63,1,570926,753.0
63,1,570944,753.0
63,1,570960,753.0
63,1,570977,751.0
63,1,570993,751.0
63,1,571010,751.0
63,1,571026,753.0
63,1,571043,753.0
63,1,571059,752.0
63,1,571076,754.0
63,1,571094,752.0
63,1,571110,753.0
63,1,571126,752.0
63,1,571144,752.0
63,1,571160,753.0
63,1,571177,752.0
63,1,571193,754.0
63,1,571210,753.0
63,1,571226,753.0
63,1,571244,752.0
63,1,571261,754.0
63,1,571277,756.0
63,1,571294,756.0
63,1,571309,749.0
63,1,571327,753.0
63,1,571343,752.0
63,1,571360,754.0
63,1,571376,752.0
63,1,571394,752.0
63,1,571410,752.0
63,1,571427,752.0
63,1,571443,753.0
63,1,571460,751.0
63,1,571476,767.0
63,1,571493,731.0
63,1,571510,693.0
63,1,571526,653.0
63,1,571543,620.0
63,1,571560,585.0
63,1,571578,554.0
63,1,571594,524.0
63,1,571610,498.0
63,1,571627,470.0
63,1,571644,448.0
63,1,571660,424.0
63,1,571676,402.0
63,1,571693,384.0
63,1,571710,366.0
63,1,571727,351.0
63,1,571743,334.0
63,1,571760,319.0
63,1,571777,308.0
63,1,571794,296.0
63,1,571811,285.0
63,1,571827,277.0
63,1,571843,269.0
63,1,571860,265.0
63,1,571877,260.0
63,1,571894,256.0
63,1,571911,251.0
63,1,571927,251.0
63,1,571943,247.0
63,1,571961,247.0
63,1,571977,247.0
63,1,571994,245.0
63,1,572011,244.0
63,1,572027,244.0
63,1,572044,243.0
63,1,572060,241.0
63,1,572077,242.0
63,1,572095,240.0
63,1,572111,239.0
63,1,572127,241.0
63,1,572144,241.0
63,1,572160,240.0
63,1,572177,239.0
63,1,572193,240.0
63,1,572210,241.0
